id,name,specialties
56,Dr. Trisha Reddy,"Rating:4.5*,Trauma,PTSD,Self Esteem"
57,Dr. Himanshu Patel,"Rating:3.2*,Academic Stress,Phobias,OCD"
58,Dr. Parul Shah,"Rating:4.9*,Anxiety,Grief,Depression"
59,Dr. Sandeep Singh,"Rating:3.7*,Substance Use,Family Conflict,Stress"
60,Dr. Esha Verma,"Rating:4.1*,Life Transitions,Career Counseling,Self Esteem"
61,Dr. Kunal Gupta,"Rating:3.4*,ADHD,Loss Issues,Anger Management"
62,Dr. Janvi Rao,"Rating:4.6*,Trauma,Relationship Issues,Anxiety"
63,Dr. Mayank Sharma,"Rating:3.9*,Eating Concern,Academic Stress,Depression"
64,Dr. Shanti Iyer,"Rating:4.2*,Grief,PTSD,Self Esteem"
65,Dr. Chetan Kumar,"Rating:3.0*,OCD,Substance Use,Family Conflict"
66,Dr. Lavanya Nair,"Rating:4.7*,Anxiety,Stress,Life Transitions"
67,Dr. Mohit Singh,"Rating:3.8*,Career Counseling,ADHD,Loss Issues"
68,Dr. Roshni Patel,"Rating:4.3*,Depression,Trauma,Relationship Issues"
69,Dr. Pranav Joshi,"Rating:3.5*,Anger Management,Academic Stress,Self Esteem"
70,Dr. Anika Mehta,"Rating:4.8*,Grief,Anxiety,PTSD"
71,Dr. Rishi Khan,"Rating:3.6*,Family Conflict,Substance Use,OCD"
72,Dr. Geeta Reddy,"Rating:4.4*,Life Transitions,Eating Concern,Depression"
73,Dr. Siddharth Verma,"Rating:3.7*,Stress,Career Counseling,ADHD"
74,Dr. Aanya Shah,"Rating:4.9*,Trauma,Anxiety,Self Esteem,Grief"
75,Dr. Vinod Kumar,"Rating:3.1*,Relationship Issues,Anger Management,Loss Issues"
76,Dr. Palak Sharma,"Rating:4.5*,PTSD,Depression,Academic Stress"
77,Dr. Tarun Gupta,"Rating:3.8*,Family Conflict,OCD,Substance Use"
78,Dr. Vani Rao,"Rating:4.2*,Anxiety,Life Transitions,Grief"
79,Dr. Bharat Singh,"Rating:3.4*,Stress,Career Counseling,ADHD"
80,Dr. Myra Das,"Rating:4.7*,Trauma,Self Esteem,Relationship Issues"
81,Dr. Dhruv Patel,"Rating:3.9*,Depression,Loss Issues,Eating Concern"
82,Dr. Preeti Iyer,"Rating:4.0*,Anxiety,PTSD,Anger Management"
83,Dr. Jay Kumar,"Rating:2.9*,Academic Stress,Family Conflict,Substance Use"
84,Dr. Charu Menon,"Rating:4.6*,Grief,Life Transitions,Self Esteem"
85,Dr. Nitesh Singh,"Rating:3.5*,ADHD,Stress,OCD"
86,Dr. Kiran Sharma,"Rating:4.8*,Trauma,Depression,Anxiety"
87,Dr. Gopal Reddy,"Rating:3.7*,Career Counseling,Relationship Issues,Loss Issues"
88,Dr. Khushi Patel,"Rating:4.1*,PTSD,Self Esteem,Family Conflict"
89,Dr. Pankaj Gupta,"Rating:3.3*,Anger Management,Substance Use,Academic Stress"
90,Dr. Sonali Verma,"Rating:4.5*,Anxiety,Grief,Life Transitions"
91,Dr. Manoj Shah,"Rating:3.8*,Depression,ADHD,Stress"
92,Dr. Ritu Rao,"Rating:4.4*,Trauma,Eating Concern,Relationship Issues"
93,Dr. Sahil Kumar,"Rating:3.6*,OCD,Self Esteem,Family Conflict"
94,Dr. Zoya Khan,"Rating:4.9*,Anxiety,PTSD,Grief,Depression"
95,Dr. Ashish Singh,"Rating:3.2*,Career Counseling,Loss Issues,Substance Use"
96,Dr. Gauri Sharma,"Rating:4.7*,Life Transitions,Stress,Self Esteem"
97,Dr. Sachin Patel,"Rating:3.9*,Anger Management,Academic Stress,ADHD"
98,Dr. Ishika Joshi,"Rating:4.3*,Trauma,Depression,Relationship Issues"
99,Dr. Tushar Mehta,"Rating:3.4*,Family Conflict,Anxiety,OCD"
100,Dr. Anjali Singh,"Rating:4.8*,Grief,PTSD,Loss Issues"
